Site,Bay,year,month,Date,Cod_CPUE,Julian_date
Eelgrass South,Cook,2020,June,6/5/2020,264,157
Laminaria North,Cook,2020,July,7/1/2020,16,183
Eelgrass West,Cook,2020,July,7/1/2020,212,183
Laminaria East,Cook,2020,July,7/1/2020,204,183
Eelgrass South,Cook,2020,July,7/1/2020,370,183
Bare North,Cook,2020,Aug,8/21/2020,1350,234
Eelgrass North,Cook,2020,Aug,8/21/2020,830,234
Eelgrass South,Cook,2020,Aug,8/21/2020,950,234
Eelgrass West,Cook,2020,Aug,8/21/2020,673,234
Laminaria East,Cook,2020,Aug,8/21/2020,211,234
Laminaria North,Cook,2020,Aug,8/21/2020,484,234
Laminaria South,Cook,2020,Aug,8/21/2020,95,234
Middle Cove,Cook,2020,Aug,8/21/2020,67,234
Laminaria North,Cook,2020,Sept,9/15/2020,295,259
Eelgrass West,Cook,2020,Sept,9/15/2020,346,259
Laminaria East,Cook,2020,Sept,9/15/2020,732,259
Eelgrass South,Cook,2020,Sept,9/15/2020,530,259
Laminaria North,Cook,2020,Oct,10/15/2020,23,289
Eelgrass West,Cook,2020,Oct,10/15/2020,719,289
Laminaria East,Cook,2020,Oct,10/15/2020,243,289
Eelgrass South,Cook,2020,Oct,10/15/2020,232,289
Laminaria North,Cook,2020,Nov,11/12/2020,0,317
Eelgrass West,Cook,2020,Nov,11/12/2020,4,317
Laminaria East,Cook,2020,Nov,11/12/2020,0,317
Eelgrass South,Cook,2020,Nov,11/12/2020,2,317
