Month,Season,Year,Sample,polycheate,Gammarid,Caprellidae,decapod,isopoda,shrimp,Corphiidae,euphasids,harp_cope,cumacea
Aug,Summer,2018,122,5.3,0,0,0,0,0,0,0,89.5,5.3
Aug,Summer,2018,118,89.9,0.7,0,0,0,0,0.7,0,2.2,6.5
Aug,Summer,2020,273,8.8,84.4,0,0,0,0,0,0,0,6.8
Aug,Summer,2018,128,0,2.3,0,0,49.4,0,7,0,0.1,41.2
Aug,Summer,2018,129,0,0,1.9,0,0,0,26,0,0.2,71.9
Dec,Fall,2018,159,0,100,0,0,0,0,0,0,0,0
Dec,Fall,2018,160,34.2,60.6,0,5.2,0,0,0,0,0,0
Dec,Fall,2018,157,0,30.5,52.4,17.1,0,0,0,0,0,0
Dec,Fall,2018,158,0,76.8,23.1,0,0,0,0,0,0.1,0
July,Summer,2018,106,6.6,9.7,83.6,0,0,0,0,0,0,0
July,Summer,2020,259,0,0,100,0,0,0,0,0,0,0
July,Summer,2020,260,0,0,100,0,0,0,0,0,0,0
July,Summer,2020,252,0,0,100,0,0,0,0,0,0,0
July,Summer,2020,256,0,0,100,0,0,0,0,0,0,0
July,Summer,2020,251,0,0,100,0,0,0,0,0,0,0
July,Summer,2018,105,0,46.9,46.9,6.3,0,0,0,0,0,0
July,Summer,2018,104,0,4.3,82.6,13,0,0,0,0,0,0
July,Summer,2018,99,0,0,99.7,0,0,0,0,0,0.3,0
July,Summer,2018,112,4.9,0.3,94.1,0.3,0,0,0,0,0.3,0
July,Summer,2018,114,0,0,0,0,86.2,0,13.3,0,0.6,0
July,Summer,2018,102,0,14.4,84.8,0.2,0,0,0,0,0.6,0
July,Summer,2018,101,0,0,87,0,0,0,12.2,0,0.8,0
July,Summer,2018,107,0,99.1,0,0,0,0,0,0,0.9,0
July,Summer,2020,265,98.8,0,0,0,0,0,0,0,1.2,0
July,Summer,2018,103,0,2.6,96.2,0,0,0,0,0,1.3,0
July,Summer,2020,250,0,6.4,92,0,0,0,0,0,1.7,0
July,Summer,2020,261,0,0,98.1,0,0,0,0,0,1.9,0
July,Summer,2020,258,0,0,95.4,0,0,0,0,0,4.6,0
July,Summer,2018,108,0,0,90,0,0,0,0,0,10,0
July,Summer,2018,113,75.3,5,8.7,0,0,0.1,0,0,11,0
July,Summer,2018,96,0,1.2,82.7,0,0,0,0,0,16,0
July,Summer,2018,110,0,32.2,51.7,0,0,0,0,0,16.1,0
July,Summer,2018,98,61.9,4.8,0,0,0,0,0,0,33.3,0
July,Summer,2018,97,0,53.8,0,0,0,0,0,0,46.2,0
July,Summer,2018,100,0,0,0,50,0,0,0,0,50,0
July,Summer,2020,266,0,0,47.4,0,0,0,0,0,52.6,0
July,Summer,2018,109,0,1.4,32.4,0,0,0,4.1,0,62.2,0
July,Summer,2018,115,0,22.5,5,0,0,0,0,0,72.5,0
July,Summer,2020,247,0,0,21.2,0,0,0,0,0,78.8,0
July,Summer,2020,264,0,3.3,96.6,0,0,0,0,0,0,0.1
July,Summer,2020,249,0,0,99.8,0,0,0,0,0,0,0.2
July,Summer,2020,257,0,0,99.6,0,0,0,0,0,0,0.4
July,Summer,2020,255,0,0,99.1,0,0,0,0,0,0,0.9
July,Summer,2020,262,0,0,0,0,0,0,0,0,92.9,7.1
July,Summer,2018,111,26.9,1.9,1,0,0,0,4.8,0,49,16.3
July,Summer,2020,253,0,0,13.6,0,0,0,0,0,66,20.4
July,Summer,2020,254,0,0,0,0,0,0,0,0,66,34
July,Summer,2020,263,0,0,65.3,0,0,0,0,0,0.5,34.2
July,Summer,2020,248,0,0,58.5,0,0,0,0,0,0,41.5
June,Summer,2020,233,0,100,0,0,0,0,0,0,0,0
June,Summer,2018,194,0,34.6,65.4,0,0,0,0,0,0,0
June,Summer,2018,199,0,33.7,66.3,0,0,0,0,0,0,0
June,Summer,2018,181,0,23.6,76.4,0,0,0,0,0,0,0
June,Summer,2018,182,0,0.6,99.1,0,0.3,0,0,0,0,0
June,Summer,2018,184,0,13.6,79.3,0,7,0,0,0,0,0
June,Summer,2018,185,0.2,59.8,39.7,0,0,0,0,0,0.2,0
June,Summer,2018,195,0,17.1,82.3,0,0,0,0,0,0.6,0
June,Summer,2018,183,0,25,68.3,0,5.8,0,0,0,1,0
June,Summer,2018,190,0,43.1,55.4,0,0,0,0,0,1.5,0
June,Summer,2018,186,0,2.2,91.3,0,4.3,0,0,0,2.2,0
June,Summer,2020,229,0,97.6,0,0,0,0,0,0,2.4,0
June,Summer,2018,191,0,25,67,0,0,0,0,0,8,0
June,Summer,2018,192,8,84,0,0,0,0,0,0,8,0
June,Summer,2018,197,0,77.8,11.1,2.8,0,0,0,0,8.3,0
June,Summer,2018,193,0,3.8,83,0,0,0,0,0,13.2,0
June,Summer,2018,200,0,2.1,75,0,0,0,0,0,22.9,0
June,Summer,2018,196,0,22.9,0,0,0,0,0,0,77.1,0
June,Summer,2020,227,0,20,0,0,0,0,0,0,80,0
June,Summer,2018,187,0,0,15.4,0,0,0,0,0,84.6,0
June,Summer,2018,189,0,14.3,0,0,0,0,0,0,85.7,0
June,Summer,2020,241,0,0,7.7,0,0,0,0,0,92.3,0
June,Summer,2018,198,0,4.5,0,0,0,0,0,0,95.5,0
June,Summer,2020,231,0,0,0,0,0,0,0,0,100,0
June,Summer,2020,245,0,0,0,0,0,0,0,0,100,0
June,Summer,2020,242,0,0,0,0,0,0,0,0,100,0
June,Summer,2020,244,0,0,0,0,0,0,0,0,100,0
June,Summer,2020,246,0,0,0,0,0,0,0,0,100,0
June,Summer,2020,243,0,0,0,0,0,0,0,0,100,0
June,Summer,2020,235,0,0,0,0,0,0,0,0,100,0
June,Summer,2020,237,0,0,0,0,0,0,0,0,100,0
June,Summer,2020,239,0,0,0,0,0,0,0,0,100,0
June,Summer,2020,232,0,0,0,0,0,0,0,0,100,0
June,Summer,2020,240,0,0,0,0,0,0,0,0,100,0
June,Summer,2020,236,0,0,0,0,0,0,0,0,100,0
June,Summer,2020,230,0,0,0,0,0,0,0,0,100,0
Nov,Fall,2020,206,100,0,0,0,0,0,0,0,0,0
Nov,Fall,2020,202,6.1,1.3,2.3,0,0,0,0,90.3,0,0
Nov,Fall,2020,205,99.9,0,0,0,0,0,0,0,0.1,0
Nov,Fall,2020,201,0,12.5,0,0,0,0,0,62.2,25.3,0
Nov,Fall,2020,204,0,0,0,0,0,0,0,73.6,26.4,0
Nov,Fall,2020,203,0,0,0,0,0,0,0,0,100,0
Oct,Fall,2020,298,100,0,0,0,0,0,0,0,0,0
Oct,Fall,2020,305,100,0,0,0,0,0,0,0,0,0
Oct,Fall,2020,301,100,0,0,0,0,0,0,0,0,0
Oct,Fall,2020,304,100,0,0,0,0,0,0,0,0,0
Oct,Fall,2020,292,100,0,0,0,0,0,0,0,0,0
Oct,Fall,2020,291,100,0,0,0,0,0,0,0,0,0
Oct,Fall,2020,289,100,0,0,0,0,0,0,0,0,0
Oct,Fall,2018,141,100,0,0,0,0,0,0,0,0,0
Oct,Fall,2018,147,100,0,0,0,0,0,0,0,0,0
Oct,Fall,2018,149,100,0,0,0,0,0,0,0,0,0
Oct,Fall,2018,146,90.3,9.7,0,0,0,0,0,0,0,0
Oct,Fall,2018,142,90,10,0,0,0,0,0,0,0,0
Oct,Fall,2018,148,83.9,16.1,0,0,0,0,0,0,0,0
Oct,Fall,2020,296,80.4,19.6,0,0,0,0,0,0,0,0
Oct,Fall,2020,297,50.1,49.9,0,0,0,0,0,0,0,0
Oct,Fall,2020,303,0,100,0,0,0,0,0,0,0,0
Oct,Fall,2020,299,0,100,0,0,0,0,0,0,0,0
Oct,Fall,2020,290,0,100,0,0,0,0,0,0,0,0
Oct,Fall,2018,140,0,100,0,0,0,0,0,0,0,0
Oct,Fall,2018,151,0,100,0,0,0,0,0,0,0,0
Oct,Fall,2018,154,99.5,0,0.5,0,0,0,0,0,0,0
Oct,Fall,2018,144,83.1,15.6,1.3,0,0,0,0,0,0,0
Oct,Fall,2018,153,84.6,12.7,2.7,0,0,0,0,0,0,0
Oct,Fall,2018,136,0,96.5,3.5,0,0,0,0,0,0,0
Oct,Fall,2018,137,0,83.6,16.4,0,0,0,0,0,0,0
Oct,Fall,2020,287,0,0,100,0,0,0,0,0,0,0
Oct,Fall,2018,139,99.4,0,0,0.6,0,0,0,0,0,0
Oct,Fall,2020,302,0,0,0,100,0,0,0,0,0,0
Oct,Fall,2018,138,0,99.3,0,0,0.7,0,0,0,0,0
Oct,Fall,2018,152,0,29.5,17.8,0,0,52.7,0,0,0,0
Oct,Fall,2018,155,13.4,10.9,0,0,0,75.6,0,0,0,0
Oct,Fall,2018,145,99.4,0.6,0,0,0,0,0,0,0.1,0
Oct,Fall,2018,150,63.4,0,0,0,0,36.5,0,0,0.1,0
Oct,Fall,2018,143,99.9,0,0,0,0,0,0,0,0.1,0
Oct,Fall,2020,306,99.9,0,0,0,0,0,0,0,0.1,0
Oct,Fall,2020,293,0,99.8,0,0,0,0,0,0,0.2,0
Oct,Fall,2020,288,99.8,0,0,0,0,0,0,0,0.2,0
Oct,Fall,2020,295,0,13.2,0,0,0,0,0,0,86.8,0
Sept,Fall,2020,224,100,0,0,0,0,0,0,0,0,0
Sept,Fall,2020,225,100,0,0,0,0,0,0,0,0,0
Sept,Fall,2020,223,100,0,0,0,0,0,0,0,0,0
Sept,Fall,2020,219,100,0,0,0,0,0,0,0,0,0
Sept,Fall,2020,218,100,0,0,0,0,0,0,0,0,0
Sept,Fall,2020,213,100,0,0,0,0,0,0,0,0,0
Sept,Fall,2020,215,100,0,0,0,0,0,0,0,0,0
Sept,Fall,2018,176,100,0,0,0,0,0,0,0,0,0
Sept,Fall,2018,179,100,0,0,0,0,0,0,0,0,0
Sept,Fall,2018,177,98.6,1.4,0,0,0,0,0,0,0,0
Sept,Fall,2018,178,91.3,8.7,0,0,0,0,0,0,0,0
Sept,Fall,2018,173,87.5,12.5,0,0,0,0,0,0,0,0
Sept,Fall,2020,212,76.4,23.6,0,0,0,0,0,0,0,0
Sept,Fall,2020,220,0,100,0,0,0,0,0,0,0,0
Sept,Fall,2018,163,0,100,0,0,0,0,0,0,0,0
Sept,Fall,2018,165,0,100,0,0,0,0,0,0,0,0
Sept,Fall,2020,207,53.9,0,46.1,0,0,0,0,0,0,0
Sept,Fall,2020,209,0,0,100,0,0,0,0,0,0,0
Sept,Fall,2018,161,66.1,5.6,0,28.2,0,0,0,0,0,0
Sept,Fall,2020,222,0,24,0,76,0,0,0,0,0,0
Sept,Fall,2018,169,96.6,0,0,0,3.4,0,0,0,0,0
Sept,Fall,2018,171,0,0,0,0,100,0,0,0,0,0
Sept,Fall,2020,214,0,10.2,85.8,0,0,4,0,0,0,0
Sept,Fall,2018,180,0,29.2,13.2,0,48.5,9.2,0,0,0,0
Sept,Fall,2018,167,0,14.8,12.6,0,0,72.7,0,0,0,0
Sept,Fall,2020,217,0,55.5,0,0,13.3,0,31.2,0,0,0
Sept,Fall,2018,174,56.6,0,22.8,0,0,20.5,0,0,0.1,0
Sept,Fall,2018,172,0,88.9,5.1,0,5.8,0,0,0,0.2,0
Sept,Fall,2020,210,53.4,40.8,0,0,5.7,0,0,0,0.2,0
Sept,Fall,2020,208,0,99.8,0,0,0,0,0,0,0.2,0
Sept,Fall,2018,166,0,46,53.4,0,0,0,0,0,0.6,0
Sept,Fall,2018,168,0,54,38.1,6.2,0,0,0,0,1.8,0
Sept,Fall,2020,226,0,51.2,0,46.8,0,0,0,0,2,0
Sept,Fall,2018,170,0,87.5,0,0,0,0,0,0,12.5,0
Sept,Fall,2020,216,0,0,0,0,0,0,0,0,100,0
Sept,Fall,2020,211,0,0,0,0,0,0,0,0,100,0
Sept,Fall,2018,164,0,20.2,0,79.1,0,0.6,0,0,0.1,0.1
Sept,Fall,2018,162,0,63.9,32.3,0,0,0,0,0,0,3.8
