Month,Year,Season,sample_num,harp_cope,Gam_amph,polycheate,cala_cope,decapod,Brachyuran,hyper_amph,Caprellidae,pteropod,isopoda,corphidae,shrimp,cumacea,euph_mysid,Tot_num_prey,Tot_wgt_prey
Aug,2018,Summer,129,63.33228616,0,0,0,0,0,0,58.20549069,0,0,756.1914236,0,4122.2708,0,213,0.0538
Aug,2018,Summer,130,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0001
Aug,2018,Summer,131,0,0,0,0,0,0,0,4006.710446,0,0,5993.289554,0,0,0,21,0.1327
Aug,2018,Summer,132,4002.194908,0,5997.805092,0,0,0,0,0,0,0,0,0,0,0,5,0.2278
Aug,2018,Summer,133,3675.759592,0,0,0,0,0,0,1990.241739,0,0,1000.665336,0,0,0,45,0.0167
Aug,2018,Summer,134,0,0,0,0,0,0,0,3316.498316,0,0,1750.841751,1599.326599,0,0,3,0.0198
Aug,2018,Summer,135,0,1503.238342,2929.835924,0,0,0,0,183.9378238,0,0,0,0,382.9879102,0,15,0.2316
Dec,2018,Fall,157,0,2531.411678,0,0,2084.257206,0,0,2050.997783,0,0,0,0,0,0,11,0.0082
Dec,2018,Fall,158,40.18240456,5478.288413,0,0,0,0,0,1148.195849,0,0,0,0,0,0,88,0.1447
Dec,2018,Fall,159,0,5730.15873,0,0,0,0,936.5079365,0,0,0,0,0,0,0,15,0.0126
Dec,2018,Fall,160,0,3255.208333,766.7072511,0,204.6130952,0,0,0,0,0,0,0,0,0,24,0.2464
July,2020,Summer,264,0,849.354973,0,0,0,0,0,5072.825635,0,0,0,0,744.4860591,0,9,0.089
July,2020,Summer,265,3392.156863,0,6607.843137,0,0,0,0,0,0,0,0,0,0,0,3,0.0085
July,2020,Summer,266,6631.578947,0,0,0,0,0,0,3368.421053,0,0,0,0,0,0,5,0.0019
July,2020,Summer,261,4092.592593,0,0,0,0,0,0,5907.407407,0,0,0,0,0,0,5,0.0108
July,2020,Summer,263,318.045318,0,0,0,0,0,0,2480.20748,0,0,0,0,3868.413868,0,22,0.0222
July,2020,Summer,262,8392.857143,0,0,0,0,0,0,0,0,0,0,0,1607.142857,0,8,0.0014
July,2020,Summer,259,0,0,0,0,0,0,0,7409.90991,2590.09009,0,0,0,0,0,2,0.0111
July,2020,Summer,260,0,0,0,0,0,0,0,20000,0,0,0,0,0,0,2,0.0156
July,2020,Summer,254,7914.353688,0,0,0,0,0,0,0,0,0,0,0,2085.646312,0,26,0.0194
July,2020,Summer,252,0,0,0,0,0,0,0,20000,0,0,0,0,0,0,5,0.0506
July,2020,Summer,255,0,0,0,0,0,0,0,8953.488372,0,0,0,0,1046.511628,0,10,0.0215
July,2020,Summer,256,0,0,0,0,0,0,0,20000,0,0,0,0,0,0,6,0.0393
July,2020,Summer,257,0,0,0,0,0,0,0,9147.361647,0,0,0,0,852.6383526,0,6,0.0259
July,2020,Summer,258,3981.660232,0,0,0,0,0,0,6018.339768,0,0,0,0,0,0,16,0.0259
July,2020,Summer,253,5057.790106,0,0,0,0,0,0,548.3125289,0,0,0,0,1060.564031,0,35,0.0103
July,2020,Summer,247,8645.276292,0,0,0,0,0,0,1354.723708,0,0,0,0,0,0,17,0.0066
July,2020,Summer,249,0,0,0,0,0,0,0,5393.192488,0,0,0,0,422.5352113,850.9389671,8,0.0568
July,2020,Summer,251,0,0,0,0,0,0,0,2898.751734,0,0,0,0,0,7101.248266,14,0.0103
July,2020,Summer,248,0,0,0,0,0,0,0,3682.104059,0,0,0,0,6317.895941,0,33,0.0265
July,2020,Summer,250,1537.222842,582.1875387,0,0,0,0,0,4547.256286,0,0,0,0,0,0,9,0.0299
July,2018,Summer,96,3034.979424,541.1522634,0,0,0,0,0,3090.534979,0,0,0,0,0,0,20,0.0081
July,2018,Summer,97,6332.082552,3667.917448,0,0,0,0,0,0,0,0,0,0,0,0,41,0.0078
July,2018,Summer,98,3918.128655,509.6073517,2238.93066,0,0,0,0,0,0,0,0,0,0,0,19,0.0021
July,2018,Summer,99,1265.923567,0,0,0,0,0,0,8734.076433,0,0,0,0,0,0,4,0.0314
July,2018,Summer,100,6730.769231,0,0,0,3269.230769,0,0,0,0,0,0,0,0,0,13,0.0006
July,2018,Summer,101,825.4452926,0,0,0,0,0,0,3567.430025,0,0,2273.791349,0,0,0,25,0.0131
July,2018,Summer,102,1680.71161,453.079484,0,0,282.4594257,0,0,2583.74948,0,0,0,0,0,0,27,0.0534
July,2018,Summer,103,876.0683761,1474.358974,0,0,0,0,0,4316.239316,0,0,0,0,0,0,12,0.0078
July,2018,Summer,104,0,1508.5639,0,0,1192.358366,0,0,3965.744401,0,0,0,0,0,0,22,0.0023
July,2018,Summer,105,0,3829.166667,0,0,475,0,0,2362.5,0,0,0,0,0,0,25,0.0032
July,2018,Summer,106,0,1574.483776,637.9056047,0,0,0,0,4454.277286,0,0,0,0,0,0,8,0.0226
July,2018,Summer,107,1574.074074,8425.925926,0,0,0,0,0,0,0,0,0,0,0,0,36,0.0108
July,2018,Summer,108,1594.202899,0,0,0,0,0,0,1884.057971,3188.405797,0,0,0,0,0,23,0.0023
July,2018,Summer,109,3416.799152,327.9014308,0,0,0,0,0,908.8500265,0,0,346.4493906,0,0,0,51,0.0074
July,2018,Summer,110,2645.242005,2025.177887,0,0,0,0,0,1996.246775,0,0,0,0,0,0,49,0.0087
July,2018,Summer,111,1991.016612,55.52546046,495.6663055,0,0,0,0,39.49981943,0,0,127.0765619,0,624.5485735,0,71,0.0104
July,2018,Summer,112,217.0836928,638.1363244,203.6238136,0,111.8205349,0,0,2829.335634,0,0,0,0,0,0,19,0.0305
July,2018,Summer,113,1786.675848,315.5792735,1532.759511,0,0,0,0,335.4105698,0,0,0,29.57479773,0,0,74,0.0785
July,2018,Summer,114,2518.416206,0,0,0,0,0,0,0,0,3289.594843,858.6556169,0,0,0,8,0.0181
July,2018,Summer,115,4875.68306,1460.382514,0,0,0,0,0,330.6010929,0,0,0,0,0,0,61,0.004
June,2020,Summer,231,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0001
June,2020,Summer,245,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0004
June,2020,Summer,242,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.0014
June,2020,Summer,244,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.001
June,2020,Summer,246,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0004
June,2020,Summer,243,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0.0026
June,2020,Summer,238,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,9,0.0018
June,2020,Summer,235,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0001
June,2020,Summer,237,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0.0031
June,2020,Summer,239,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.0023
June,2020,Summer,233,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0001
June,2020,Summer,234,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,1,0.0002
June,2020,Summer,232,7708.333333,0,0,0,0,0,0,0,0,0,0,0,0,2291.666667,8,0.0003
June,2020,Summer,240,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0008
June,2020,Summer,241,8615.384615,0,0,0,0,0,0,1384.615385,0,0,0,0,0,0,5,0.0013
June,2020,Summer,236,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0003
June,2020,Summer,230,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0008
June,2020,Summer,227,8545.454545,1454.545455,0,0,0,0,0,0,0,0,0,0,0,0,11,0.001
June,2020,Summer,229,2621.95122,7378.04878,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0041
June,2018,Summer,181,0,3178.861789,0,0,0,0,0,6821.138211,0,0,0,0,0,0,10,0.0246
June,2018,Summer,182,0,497.0891178,0,0,0,0,0,5682.937752,0,486.639797,0,0,0,0,7,0.0319
June,2018,Summer,183,274.0384615,1625,0,0,0,0,0,2706.730769,0,394.2307692,0,0,0,0,10,0.0104
June,2018,Summer,184,0,1287.167449,0,0,0,0,0,3478.090767,0,1901.408451,0,0,0,0,20,0.0426
June,2018,Summer,185,318.2077626,3370.43379,109.8744292,0,0,0,0,1201.484018,0,0,0,0,0,0,24,0.0438
June,2018,Summer,186,887.6811594,471.0144928,0,0,0,0,0,3115.942029,0,525.3623188,0,0,0,0,6,0.0046
June,2018,Summer,187,9030.769231,0,0,0,0,0,0,969.2307692,0,0,0,0,0,0,25,0.0013
June,2018,Summer,189,9191.374663,808.6253369,0,0,0,0,0,0,0,0,0,0,0,0,53,0.0007
June,2018,Summer,190,773.4620566,2465.761114,0,0,0,0,0,1668.163449,0,0,0,0,0,0,34,0.0131
June,2018,Summer,191,2029.857398,2205.882353,0,0,0,0,0,2430.926916,0,0,0,0,0,0,17,0.0088
June,2018,Summer,192,2021.575985,2568.011257,253.2833021,0,0,157.1294559,0,0,0,0,0,0,0,0,41,0.0026
June,2018,Summer,193,2573.584906,925.7861635,0,0,0,0,0,3167.295597,0,0,0,0,0,0,25,0.0053
June,2018,Summer,194,0,6017.231795,0,0,0,0,0,3982.768205,0,0,0,0,0,0,21,0.0514
June,2018,Summer,195,759.7883598,2052.910053,0,0,0,0,0,3853.968254,0,0,0,0,0,0,9,0.0175
June,2018,Summer,196,5409.791667,943.125,0,0,0,0,0,0,0,0,0,0,0,0,125,0.0128
June,2018,Summer,197,1312.162162,2063.513514,0,104.0540541,204.0540541,0,0,316.2162162,0,0,0,0,0,0,40,0.0037
June,2018,Summer,198,9647.727273,352.2727273,0,0,0,0,0,0,0,0,0,0,0,0,40,0.0022
June,2018,Summer,199,0,4809.931507,0,0,0,0,0,5190.068493,0,0,0,0,0,0,8,0.0365
June,2018,Summer,200,3770.424837,134.8039216,0,0,0,0,0,2761.437908,0,0,0,0,0,0,51,0.0048
Nov,2020,Fall,202,0,292.7949327,387.212985,0,0,0,279.1369755,179.6516231,0,0,0,0,0,2861.203484,15,0.3368
Nov,2020,Fall,201,2115.586117,637.8519974,0,0,0,0,457.6511679,0,0,0,0,0,0,1788.910718,45,0.1527
Nov,2020,Fall,203,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.0096
Nov,2020,Fall,204,6042.976939,0,0,0,0,0,0,0,0,0,0,0,0,3957.023061,18,0.0106
Nov,2020,Fall,206,0,0,2524.928775,7475.071225,0,0,0,0,0,0,0,0,0,0,27,0.1248
Nov,2020,Fall,205,559.0241646,0,3698.115389,2409.527113,0,0,0,0,0,0,0,0,0,0,6,0.0961
Oct,2020,Fall,298,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,1,0.0448
Oct,2020,Fall,295,9168.495298,831.5047022,0,0,0,0,0,0,0,0,0,0,0,0,29,0.022
Oct,2020,Fall,300,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,5,0.0003
Oct,2020,Fall,296,0,4981.651376,5018.348624,0,0,0,0,0,0,0,0,0,0,0,5,0.3815
Oct,2020,Fall,305,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,1,0.1144
Oct,2020,Fall,301,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,1,0.1996
Oct,2020,Fall,306,3339.140534,0,6660.859466,0,0,0,0,0,0,0,0,0,0,0,3,0.0861
Oct,2020,Fall,297,0,5828.092243,4171.907757,0,0,0,0,0,0,0,0,0,0,0,3,0.1908
Oct,2020,Fall,304,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,1,0.1575
Oct,2020,Fall,303,0,8443.72783,0,0,0,0,0,0,0,0,0,0,0,0,15,0.3101
Oct,2020,Fall,302,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,2,0.3852
Oct,2020,Fall,299,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0018
Oct,2020,Fall,293,3342.457421,6657.542579,0,0,0,0,0,0,0,0,0,0,0,0,9,0.1096
Oct,2020,Fall,292,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,1,0.0873
Oct,2020,Fall,290,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0899
Oct,2020,Fall,291,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,1,0.0728
Oct,2020,Fall,289,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,1,0.1706
Oct,2020,Fall,288,3761.520737,0,6238.479263,0,0,0,0,0,0,0,0,0,0,0,4,0.0434
Oct,2018,Fall,136,0,9468.574776,0,0,0,0,0,531.4252239,0,0,0,0,0,0,14,0.3414
Oct,2018,Fall,137,0,8972.554039,0,0,0,0,0,1027.445961,0,0,0,0,0,0,24,0.1172
Oct,2018,Fall,138,0,9725.57096,0,0,0,0,0,0,0,274.4290403,0,0,0,0,21,0.4266
Oct,2018,Fall,139,0,0,7468.35443,0,2531.64557,0,0,0,0,0,0,0,0,0,2,0.0158
Oct,2018,Fall,140,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,84,0.2129
Oct,2018,Fall,141,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,1,0.3553
Oct,2018,Fall,142,0,3834.243045,6165.756955,0,0,0,0,0,0,0,0,0,0,0,3,0.8794
Oct,2018,Fall,143,3338.923048,0,6661.076952,0,0,0,0,0,0,0,0,0,0,0,3,0.5367
Oct,2018,Fall,144,0,2742.14697,3324.496893,0,0,0,0,600.0228037,0,0,0,0,0,0,6,0.1949
Oct,2018,Fall,145,1668.096055,853.3447684,4145.225843,0,0,0,0,0,0,0,0,0,0,0,4,0.2332
Oct,2018,Fall,146,0,4232.573727,5767.426273,0,0,0,0,0,0,0,0,0,0,0,4,0.1119
Oct,2018,Fall,147,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,1,0.2269
Oct,2018,Fall,148,0,5088.792423,4911.207577,0,0,0,0,0,0,0,0,0,0,0,7,0.2534
Oct,2018,Fall,149,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,1,0.2478
Oct,2018,Fall,150,836.1534123,0,2945.572476,0,0,0,0,0,0,0,0,2884.940778,0,0,4,0.1182
Oct,2018,Fall,151,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,29,0.1201
Oct,2018,Fall,152,0,2649.969079,0,0,0,0,0,1546.072975,0,0,0,2470.624613,0,0,14,0.0539
Oct,2018,Fall,153,0,1535.319256,3931.623932,0,0,0,0,1199.723479,0,0,0,0,0,0,6,0.1768
Oct,2018,Fall,154,0,0,3475.988179,0,0,505.5411895,0,512.0059106,0,0,0,0,0,0,5,0.2707
Oct,2018,Fall,155,0,1736.429131,644.2255155,0,0,0,0,0,0,0,0,4286.01202,0,0,17,0.3481
Sept,2020,Fall,226,690.1340996,2818.48659,0,0,3158.045977,0,0,0,0,0,0,0,0,0,48,0.696
Sept,2020,Fall,224,0,0,6333.652008,0,0,0,0,0,0,0,0,0,0,0,2,0.0523
Sept,2020,Fall,225,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,1,0.0906
Sept,2020,Fall,222,0,4199.893815,0,0,5800.106185,0,0,0,0,0,0,0,0,0,5,0.3767
Sept,2020,Fall,223,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,1,0.1463
Sept,2020,Fall,219,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,1,0.0998
Sept,2020,Fall,220,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,7,0.3382
Sept,2020,Fall,218,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,3,0.5662
Sept,2020,Fall,217,0,3644.991699,0,0,0,0,0,0,0,701.2543811,2320.420587,0,0,0,13,0.278
Sept,2020,Fall,209,0,0,0,0,0,0,0,20000,0,0,0,0,0,0,11,0.0221
Sept,2020,Fall,208,1120.506075,8879.493925,0,0,0,0,0,0,0,0,0,0,0,0,9,0.2661
Sept,2020,Fall,207,0,0,3252.10728,0,0,0,0,6747.89272,0,0,0,0,0,0,9,0.0725
Sept,2020,Fall,213,0,0,5168.679943,0,0,0,0,0,4831.320057,0,0,0,0,0,9,0.1021
Sept,2020,Fall,212,0,1058.836644,2393.742318,0,0,0,0,0,3214.087705,0,0,0,0,0,49,0.2319
Sept,2020,Fall,216,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0001
Sept,2020,Fall,215,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,1,0.2657
Sept,2020,Fall,214,0,1339.70276,0,0,0,0,0,4860.934183,0,0,0,466.029724,0,0,10,0.1256
Sept,2020,Fall,210,1075.713062,2091.137226,1513.190109,0,0,0,0,0,0,319.9596034,0,0,0,0,14,0.1167
Sept,2020,Fall,211,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0003
Sept,2018,Fall,161,0,1299.283154,3315.412186,0,2051.971326,0,0,0,0,0,0,0,0,0,3,0.0124
Sept,2018,Fall,162,0,4670.143342,0,0,0,0,0,1765.02997,0,0,0,0,231.4933554,0,63,0.0557
Sept,2018,Fall,163,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,11,0.0346
Sept,2018,Fall,164,491.0118722,904.7632758,0,0,1338.045742,0,0,0,0,0,0,205.8679566,98.85500945,0,17,0.2043
Sept,2018,Fall,165,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,22,0.051
Sept,2018,Fall,166,376.0822511,4034.090909,0,0,0,0,0,2256.493506,0,0,0,0,0,0,28,0.0176
Sept,2018,Fall,167,0,2013.317737,0,0,0,0,0,1037.046994,0,0,0,1879.704438,0,0,76,0.1811
Sept,2018,Fall,168,504.7741034,3125.873312,0,0,220.6567303,0,0,1148.695855,0,0,0,0,0,0,38,0.0113
Sept,2018,Fall,169,0,0,7330.11745,0,0,0,0,0,0,2669.88255,0,0,0,0,2,1.192
Sept,2018,Fall,170,3625,6375,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0008
Sept,2018,Fall,171,0,0,0,0,0,0,0,0,0,20000,0,0,0,0,1,0.145
Sept,2018,Fall,172,224.5946456,4282.381222,0,0,0,0,0,275.2639517,0,217.760181,0,0,0,0,34,0.0624
Sept,2018,Fall,173,0,4910.714286,5089.285714,0,0,0,0,0,0,0,0,0,0,0,7,0.0288
Sept,2018,Fall,174,1252.834467,0,1831.06576,0,0,0,0,986.3945578,0,0,0,929.7052154,0,0,6,0.0882
Sept,2018,Fall,176,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,1,0.0239
Sept,2018,Fall,177,0,2571.635544,7428.364456,0,0,0,0,0,0,0,0,0,0,0,2,0.6212
Sept,2018,Fall,178,0,1953.889748,3839.515714,0,0,0,0,0,0,0,0,0,0,0,4,0.2588
Sept,2018,Fall,179,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,1,0.4195
Sept,2018,Fall,180,0,1285.053331,0,0,0,0,0,884.5447482,0,2045.984319,0,784.4176026,0,0,9,0.1573
